location_slug,target_date,jam,dominant_category,confidence_score,confidence_label,sources_used,sources_expected,coverage_fraction,weight_total,temp_mean,temp_std,rh_mean,rh_std,rain_mean,rain_std,heat_index_mean,heat_index_std,gap_mean_minutes,gap_max_minutes,pct_cerah,pct_cerah_berawan,pct_berawan,pct_hujan_ringan,pct_hujan_sedang,pct_hujan_lebat
gpm4,2026-07-08,18:00,Berawan,92.1,Tinggi,8,8,1.0,7.7485,18.38,1.29,88.68,3.98,0.1,0.26,18.38,1.29,0.0,0.0,0.0,12.5,76.5,11.0,0.0,0.0
gpm4,2026-07-09,06:00,Berawan,91.9,Tinggi,8,8,1.0,7.7595,13.41,1.94,75.95,5.75,0.0,0.0,13.41,1.94,0.0,0.0,0.0,23.2,76.8,0.0,0.0,0.0
gpm4,2026-07-09,09:00,Berawan,98.7,Tinggi,8,8,1.0,7.7595,18.29,0.3,61.1,3.5,0.0,0.0,18.29,0.3,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
gpm4,2026-07-09,12:00,Berawan,88.2,Tinggi,8,8,1.0,7.7595,22.91,0.66,50.65,6.47,0.0,0.0,22.91,0.66,0.0,0.0,0.0,40.3,59.7,0.0,0.0,0.0
gpm4,2026-07-09,15:00,Berawan,85.3,Tinggi,8,8,1.0,7.7595,22.29,0.56,56.07,2.37,0.02,0.04,22.29,0.56,0.0,0.0,0.0,39.0,46.8,14.2,0.0,0.0
gpm4,2026-07-09,18:00,Hujan Ringan,86.0,Tinggi,8,8,1.0,7.7595,19.03,1.28,79.81,10.16,0.07,0.07,19.03,1.28,0.0,0.0,0.0,24.9,21.7,53.5,0.0,0.0
gpm5,2026-07-07,06:00,Berawan,76.6,Sedang,7,8,0.875,6.78,17.16,1.61,97.95,1.34,0.0,0.0,17.16,1.61,0.0,0.0,26.5,30.2,43.2,0.0,0.0,0.0
gpm5,2026-07-07,09:00,Berawan,80.6,Tinggi,7,8,0.875,6.78,22.2,1.01,83.12,2.79,0.02,0.04,22.2,1.01,0.0,0.0,26.5,0.0,58.7,14.7,0.0,0.0
gpm5,2026-07-07,12:00,Hujan Ringan,81.3,Tinggi,7,8,0.875,6.78,23.61,0.47,74.75,3.83,0.25,0.23,23.61,0.47,0.0,0.0,0.0,0.0,38.8,61.2,0.0,0.0
gpm5,2026-07-07,15:00,Hujan Ringan,86.1,Tinggi,8,8,1.0,7.78,22.88,0.11,87.82,8.0,1.28,0.54,22.88,0.11,0.0,0.0,0.0,0.0,8.1,52.1,14.1,25.7
gpm5,2026-07-07,18:00,Hujan Ringan,82.7,Tinggi,8,8,1.0,7.78,20.53,0.5,93.76,3.6,2.2,1.64,20.53,0.5,0.0,0.0,0.0,0.0,8.1,41.1,25.1,25.7
gpm5,2026-07-08,06:00,Berawan,88.3,Tinggi,8,8,1.0,7.7485,16.03,0.94,92.32,7.22,0.16,0.34,16.03,0.94,0.0,0.0,0.0,11.0,61.9,27.1,0.0,0.0
gpm5,2026-07-08,09:00,Berawan,91.0,Tinggi,8,8,1.0,7.7485,20.33,1.92,80.41,12.06,0.11,0.28,20.33,1.92,0.0,0.0,0.0,11.0,76.1,12.9,0.0,0.0
gpm5,2026-07-08,12:00,Berawan,94.8,Tinggi,8,8,1.0,7.7485,23.69,2.35,66.25,4.34,0.0,0.0,23.99,2.83,0.0,0.0,11.0,0.0,89.0,0.0,0.0,0.0
gpm5,2026-07-08,15:00,Hujan Ringan,82.4,Tinggi,8,8,1.0,7.7485,23.49,0.9,74.11,9.72,0.2,0.28,23.49,0.9,0.0,0.0,0.0,0.0,33.3,39.0,14.2,13.6
gpm5,2026-07-08,18:00,Berawan,92.1,Tinggi,8,8,1.0,7.7485,21.22,1.15,87.16,4.34,0.11,0.29,21.22,1.15,0.0,0.0,0.0,12.5,76.5,11.0,0.0,0.0
gpm5,2026-07-09,06:00,Berawan,92.4,Tinggi,8,8,1.0,7.7595,15.22,0.54,76.63,8.56,0.0,0.0,15.22,0.54,0.0,0.0,0.0,23.2,76.8,0.0,0.0,0.0
gpm5,2026-07-09,09:00,Berawan,98.5,Tinggi,8,8,1.0,7.7595,21.82,0.74,61.04,3.2,0.0,0.0,21.82,0.74,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
gpm5,2026-07-09,12:00,Berawan,88.3,Tinggi,8,8,1.0,7.7595,25.7,0.7,51.28,5.32,0.0,0.0,25.87,1.01,0.0,0.0,0.0,40.3,59.7,0.0,0.0,0.0
gpm5,2026-07-09,15:00,Berawan,88.1,Tinggi,8,8,1.0,7.7595,25.22,0.46,56.72,2.06,0.02,0.04,25.22,0.46,0.0,0.0,0.0,28.1,57.7,14.2,0.0,0.0
gpm5,2026-07-09,18:00,Hujan Ringan,86.8,Tinggi,8,8,1.0,7.7595,21.4,0.27,85.32,5.42,0.12,0.16,21.4,0.27,0.0,0.0,0.0,24.9,21.7,53.5,0.0,0.0
gpm6,2026-07-07,06:00,Berawan,80.3,Tinggi,7,8,0.875,6.78,14.43,1.61,97.56,1.54,0.0,0.0,14.43,1.61,0.0,0.0,26.5,15.5,58.0,0.0,0.0,0.0
gpm6,2026-07-07,09:00,Berawan,80.6,Tinggi,7,8,0.875,6.78,19.59,0.99,82.18,2.49,0.02,0.04,19.59,0.99,0.0,0.0,26.5,0.0,58.7,14.7,0.0,0.0
gpm6,2026-07-07,12:00,Hujan Ringan,81.1,Tinggi,7,8,0.875,6.78,20.91,0.52,74.42,3.24,0.46,0.45,20.91,0.52,0.0,0.0,0.0,0.0,38.8,61.2,0.0,0.0
gpm6,2026-07-07,15:00,Hujan Ringan,85.9,Tinggi,8,8,1.0,7.78,19.85,0.99,89.3,7.34,1.21,0.3,19.85,0.99,0.0,0.0,0.0,0.0,8.1,52.1,14.1,25.7
gpm6,2026-07-07,18:00,Hujan Sedang,82.0,Tinggi,8,8,1.0,7.78,17.68,0.41,94.82,2.06,2.52,1.68,17.68,0.41,0.0,0.0,0.0,0.0,8.1,28.3,37.9,25.7
gpm6,2026-07-08,06:00,Berawan,88.1,Tinggi,8,8,1.0,7.7485,13.34,0.97,92.2,7.11,0.27,0.62,13.34,0.97,0.0,0.0,0.0,11.0,61.9,27.1,0.0,0.0
gpm6,2026-07-08,09:00,Berawan,87.8,Tinggi,8,8,1.0,7.7485,17.71,1.98,80.23,12.63,0.11,0.28,17.71,1.98,0.0,0.0,0.0,23.5,63.6,12.9,0.0,0.0
gpm6,2026-07-08,12:00,Berawan,94.3,Tinggi,8,8,1.0,7.7485,21.09,2.58,69.73,10.36,0.0,0.0,21.09,2.58,0.0,0.0,11.0,0.0,89.0,0.0,0.0,0.0
gpm6,2026-07-08,15:00,Berawan,80.6,Tinggi,8,8,1.0,7.7485,20.56,1.49,75.69,9.79,0.31,0.45,20.56,1.49,0.0,0.0,0.0,0.0,33.3,26.5,14.2,26.1
gpm6,2026-07-08,18:00,Berawan,91.8,Tinggi,8,8,1.0,7.7485,18.39,1.32,89.57,1.5,0.31,0.84,18.39,1.32,0.0,0.0,0.0,12.5,76.5,0.0,11.0,0.0
gpm6,2026-07-09,06:00,Berawan,92.5,Tinggi,8,8,1.0,7.7595,12.4,0.46,77.1,8.15,0.0,0.0,12.4,0.46,0.0,0.0,0.0,23.2,76.8,0.0,0.0,0.0
gpm6,2026-07-09,09:00,Berawan,95.3,Tinggi,8,8,1.0,7.7595,19.15,0.74,60.72,3.24,0.0,0.0,19.15,0.74,0.0,0.0,0.0,12.6,87.4,0.0,0.0,0.0
gpm6,2026-07-09,12:00,Berawan,88.2,Tinggi,8,8,1.0,7.7595,23.04,0.64,50.61,5.94,0.0,0.0,23.04,0.64,0.0,0.0,0.0,40.3,59.7,0.0,0.0,0.0
gpm6,2026-07-09,15:00,Berawan,84.5,Tinggi,8,8,1.0,7.7595,22.14,0.98,58.78,3.12,0.04,0.07,22.14,0.98,0.0,0.0,0.0,28.4,44.8,26.8,0.0,0.0
gpm6,2026-07-09,18:00,Hujan Ringan,90.0,Tinggi,8,8,1.0,7.7595,18.32,0.59,85.86,2.36,0.18,0.16,18.32,0.59,0.0,0.0,0.0,12.2,21.7,66.1,0.0,0.0
gpm_grid_tamatue,2026-07-07,06:00,Berawan,80.5,Tinggi,7,8,0.875,6.78,17.25,1.48,98.28,1.19,0.0,0.0,17.25,1.48,0.0,0.0,12.5,28.8,58.7,0.0,0.0,0.0
gpm_grid_tamatue,2026-07-07,09:00,Berawan,76.4,Sedang,7,8,0.875,6.78,21.16,0.96,86.45,0.84,0.0,0.0,21.16,0.96,0.0,0.0,26.5,32.4,41.0,0.0,0.0,0.0
gpm_grid_tamatue,2026-07-07,12:00,Berawan,80.7,Tinggi,7,8,0.875,6.78,25.22,0.6,64.9,2.91,0.08,0.18,25.22,0.6,0.0,0.0,0.0,26.5,58.7,14.7,0.0,0.0
gpm_grid_tamatue,2026-07-07,15:00,Hujan Ringan,95.6,Tinggi,8,8,1.0,7.78,24.16,1.15,74.08,8.78,0.74,0.43,24.16,1.15,0.0,0.0,0.0,0.0,8.1,91.9,0.0,0.0
gpm_grid_tamatue,2026-07-07,18:00,Hujan Ringan,92.7,Tinggi,8,8,1.0,7.78,21.1,1.01,87.98,5.58,0.6,0.61,21.1,1.01,0.0,0.0,0.0,0.0,20.3,79.7,0.0,0.0
