date,rain_mm,temperature_mean_c,temperature_max_c,temperature_min_c,wind_speed_2m_mps,relative_humidity_2m_pct,source,observation_type
1981-07-10,0.67,23.55,26.27,21.6,1.26,90.46,NASA POWER Daily,gridded_meteorological_proxy
1981-07-11,13.31,22.69,24.95,21.25,0.79,92.68,NASA POWER Daily,gridded_meteorological_proxy
1981-07-12,3.82,23.61,27.41,20.99,1.07,88.06,NASA POWER Daily,gridded_meteorological_proxy
1981-07-13,1.99,23.34,26.89,20.61,1.36,88.69,NASA POWER Daily,gridded_meteorological_proxy
1981-07-14,4.81,23.12,26.37,20.35,0.95,88.98,NASA POWER Daily,gridded_meteorological_proxy
1981-07-15,8.16,22.47,24.36,21.14,0.99,92.09,NASA POWER Daily,gridded_meteorological_proxy
1981-07-16,6.8,22.4,25.19,20.55,0.46,90.71,NASA POWER Daily,gridded_meteorological_proxy
1981-07-17,3.75,22.34,25.33,20.02,0.47,89.7,NASA POWER Daily,gridded_meteorological_proxy
1981-07-18,14.82,22.95,25.93,20.96,0.69,89.93,NASA POWER Daily,gridded_meteorological_proxy
1981-07-19,6.49,23.21,26.16,21.18,0.79,90.2,NASA POWER Daily,gridded_meteorological_proxy
1981-07-20,0.42,23.81,27.55,21.21,0.7,85.87,NASA POWER Daily,gridded_meteorological_proxy
1981-07-21,0.06,23.1,25.58,20.68,0.79,88.66,NASA POWER Daily,gridded_meteorological_proxy
1981-07-22,3.7,23.39,26.86,21.22,0.55,87.81,NASA POWER Daily,gridded_meteorological_proxy
1981-07-23,20.19,22.89,26.04,20.87,0.83,88.17,NASA POWER Daily,gridded_meteorological_proxy
1981-07-24,8.46,22.35,24.73,20.55,1.04,92.87,NASA POWER Daily,gridded_meteorological_proxy
1981-07-25,9.92,22.3,25.01,20.4,0.8,90.26,NASA POWER Daily,gridded_meteorological_proxy
1981-07-26,4.22,23.23,27.21,20.05,0.43,84.98,NASA POWER Daily,gridded_meteorological_proxy
1981-07-27,0.52,23.49,27.71,20.17,1.34,87.89,NASA POWER Daily,gridded_meteorological_proxy
1981-07-28,5.13,23.74,27.89,20.96,1.06,88.2,NASA POWER Daily,gridded_meteorological_proxy
1981-07-29,2.23,23.85,28.34,20.9,1.2,88.16,NASA POWER Daily,gridded_meteorological_proxy
1981-07-30,9.2,23.1,26.0,21.3,1.03,88.91,NASA POWER Daily,gridded_meteorological_proxy
1981-07-31,3.83,22.76,26.2,20.59,0.49,86.89,NASA POWER Daily,gridded_meteorological_proxy
1981-08-01,0.36,22.9,26.08,20.79,0.51,88.01,NASA POWER Daily,gridded_meteorological_proxy
1981-08-02,9.36,23.19,26.21,21.24,0.81,87.51,NASA POWER Daily,gridded_meteorological_proxy
1981-08-03,1.84,23.54,27.33,20.43,0.77,86.71,NASA POWER Daily,gridded_meteorological_proxy
1981-08-04,0.05,23.72,27.08,21.19,0.86,87.72,NASA POWER Daily,gridded_meteorological_proxy
1981-08-05,0.01,23.17,26.71,20.98,1.02,86.71,NASA POWER Daily,gridded_meteorological_proxy
1981-08-06,0.01,22.83,25.87,20.58,0.87,88.46,NASA POWER Daily,gridded_meteorological_proxy
1981-08-07,9.1,23.52,27.33,20.36,0.96,88.51,NASA POWER Daily,gridded_meteorological_proxy
1981-08-08,2.87,24.19,28.45,21.16,0.93,87.34,NASA POWER Daily,gridded_meteorological_proxy
1981-08-09,1.16,23.63,27.11,21.36,1.24,89.01,NASA POWER Daily,gridded_meteorological_proxy
1981-08-10,0.84,23.57,27.5,20.78,1.11,86.35,NASA POWER Daily,gridded_meteorological_proxy
1981-08-11,1.85,23.45,27.64,20.48,0.98,87.75,NASA POWER Daily,gridded_meteorological_proxy
1981-08-12,5.93,23.3,27.57,20.65,1.12,86.89,NASA POWER Daily,gridded_meteorological_proxy
1981-08-13,1.47,23.17,27.22,20.16,1.11,86.27,NASA POWER Daily,gridded_meteorological_proxy
1981-08-14,1.03,23.57,27.99,20.03,0.99,85.74,NASA POWER Daily,gridded_meteorological_proxy
1981-08-15,0.49,23.55,27.9,20.51,1.37,86.28,NASA POWER Daily,gridded_meteorological_proxy
1981-08-16,0.01,23.51,27.89,20.85,1.66,86.43,NASA POWER Daily,gridded_meteorological_proxy
1981-08-17,0.29,22.86,27.4,20.2,1.4,86.63,NASA POWER Daily,gridded_meteorological_proxy
1981-08-18,0.0,22.66,27.32,19.29,0.99,84.03,NASA POWER Daily,gridded_meteorological_proxy
1981-08-19,0.28,22.52,26.58,19.29,0.94,88.01,NASA POWER Daily,gridded_meteorological_proxy
1981-08-20,5.88,23.3,27.65,20.44,1.2,88.16,NASA POWER Daily,gridded_meteorological_proxy
1981-08-21,0.9,23.67,27.59,21.4,1.43,86.48,NASA POWER Daily,gridded_meteorological_proxy
1981-08-22,0.0,23.25,26.56,20.85,1.24,87.23,NASA POWER Daily,gridded_meteorological_proxy
1981-08-23,0.0,23.5,27.67,20.41,1.28,85.78,NASA POWER Daily,gridded_meteorological_proxy
1981-08-24,0.67,23.29,27.31,20.26,1.21,87.33,NASA POWER Daily,gridded_meteorological_proxy
1981-08-25,0.39,23.38,27.59,20.48,1.35,84.24,NASA POWER Daily,gridded_meteorological_proxy
1981-08-26,0.06,23.3,27.68,19.87,1.16,84.43,NASA POWER Daily,gridded_meteorological_proxy
